26,2,3
20,25,2,3
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,19,2,3
20,18,1,2
20,19,2,3
20,18,1,2
20,20,2,3
20,19,2,3
20,18,1,2
20,33,2,3
20,32,2,3
20,31,2,3
20,30,2,3
20,29,2,3
20,28,2,3
20,27,2,3
20,26,2,3
20,25,2,3
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,20,2,3
20,19,2,3
20,18,1,2
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,30,2,3
20,29,2,3
20,28,2,3
20,27,2,3
20,26,2,3
20,25,2,3
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,28,2,3
20,27,2,3
20,26,2,3
20,25,2,3
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,19,2,3
20,18,1,2
20,29,2,3
20,28,2,3
20,27,2,3
20,26,2,3
20,25,2,3
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,25,2,3
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,20,2,3
20,19,2,3
20,18,1,2
20,33,2,3
20,32,2,3
20,31,2,3
20,30,2,3
20,29,2,3
20,28,2,3
20,27,2,3
20,26,2,3
20,25,2,3
20,24,2,3
20,23,2,3
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,2
20,22,2,3
20,21,2,3
20,20,2,3
20,19,2,3
20,18,1,1
20,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,7,2,3
31,6,1,2
31,12,2,3
31,11,2,3
31,10,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,32,2,3
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,31,2,3
31,30,2,3
31,29,2,3
31,28,2,3
31,27,2,3
31,26,2,3
31,25,2,3
31,24,2,3
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,23,2,3
31,22,2,3
31,21,2,3
31,20,2,3
31,19,2,3
31,18,1,2
31,29,2,3
31,28,2,3
