timeSteps,wMin,wMax,success,failure,wait
50,2,16,10,1,29

state_index,state_type,transition_type,frame_type
2,4,5
20,1,4,64
20,5,2,3
20,4,1,1
20,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,2
31,8,2,3
31,7,2,3
31,6,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,1
31,3,4,5
30,2,4,5
30,1,4,64
30,4,1,1
30,3,4,5
31,2,4,5
31,1,4,64
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,1
31,3,4,5
31,
