timeSteps,wMin,wMax,success,failure,wait
50,2,16,9,2,31

state_index,state_type,transition_type,frame_type
15,2,3
20,14,2,3
20,13,2,3
20,12,2,3
20,11,2,3
20,10,1,1
20,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,9,2,3
31,8,2,3
31,7,2,3
31,6,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,2
31,8,2,3
31,7,2,3
31,6,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,5,2,3
31,4,1,1
31,3,4,5
31,2,4,5
31,1,4,64
31,4,1,1
31,3,4,5
30,2,4,5
30,1,4,64
30,5,2,3
30,4,1,1
30,3,4,5
31,
